>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
2 ; R-k Maroko Nowiny¯o³êdziowa;3 ; ; ;;3 ;
3 ; R-k Orzepowice Szpital Woj;1 ; ; ;;1 ;
4 ; R-k Orzepowice KuŸnia; ; ; ;; ;
5 ; R-k Pó³noc Wawok;1 ;1 ; ;;2 ;
6 ; R-k Pó³noc Rudzka Cmentarz; ; ; ;; ;
7 ; R-k Pó³noc Rondo Gliwickie;6 ; ; ;;6 ;
8 ; R-k Œródmieœcie PlacWolnoœci 2;15 ;20 ;1 ;;36 ;
9 ; R-k Œródmieœcie 3 Maja;6 ;1 ;3 ;;10 ;
10 ; R-k Œródmieœcie Urszulanki;3 ;3 ; ;;6 ;
11 ; R-k Œródmieœcie S¹d;9 ;7 ; ;;16 ;
>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#5;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
12 ; R-k Smolna Franciszkanie;4 ;4 ; ;;8 ;
13 ; R-k Smolna Osiedle;5 ;3 ; ;;8 ;
14 ; R-k Zamys³ów Wodzis³awska; ; ; ;; ;
15 ; R-k Niedobczyce Pary¿;1 ; ; ;;1 ;
16 ; R-k Popielów ¯abik; ; ; ;; ;
17 ; R-k Popielów Skrzy¿owanie;1 ; ; ;;1 ;
18 ; R-k Popielów Worcella;1 ; ; ;;1 ;
19 ; R-k Niedobczyce KopalniaRymer; ; ; ;; ;
20 ; R-k Niedobczyce Stadion;1 ;2 ; ;;3 ;
21 ; R-k Niedobczyce Orlik; ; ; ;; ;
22 ; R-k Niedobczyce Wrêbowa;1 ; ; ;;1 ;
23 ; Radlin Rogozina; ; ; ;; ;
24 ; Radlin Korfantego Centrum; ;1 ;2 ;;3 ;
25 ; Radlin KorfantegoMakuszyñskiego; ; ;1 ;;1 ;
26 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
27 ; Radlin Ujejskiego; ; ; ;; ;
 Razem: ;;60 ;44 ;7 ;;111 ;

   Kursówka: 01   Linia:  3   Wariant: F - Marcel-DA   Kurs:  15:09;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Radlin Ujejskiego;10 ; ; ;;10 ;
2 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
3 ; Radlin KorfantegoMakuszyñskiego; ; ;1 ;;1 ;
4 ; Radlin Korfantego Centrum;11 ;1 ; ;;12 ;
5 ; Radlin Rogozina; ; ;1 ;;1 ;
6 ; R-k Niedobczyce Wrêbowa;2 ;2 ; ;;4 ;
7 ; R-k Niedobczyce Orlik;3 ; ; ;;3 ;
8 ; R-k Niedobczyce Stadion;8 ;3 ; ;;11 ;
9 ; R-k Niedobczyce Szko³a;1 ; ; ;;1 ;
10 ; R-k Niedobczyce Karolinka; ; ; ;; ;
11 ; R-k Niedobczyce Pary¿;1 ;5 ;1 ;;7 ;
12 ; R-k Zamys³ów Wodzis³awska; ; ; ;; ;
13 ; R-k Smolna Osiedle; ; ; ;; ;
14 ; R-k Smolna Franciszkanie; ; ; ;; ;
15 ; R-k Œródmieœcie S¹d; ; ; ;; ;
16 ; R-k Œródmieœcie DworzecKolejowy; ; ; ;; ;
17 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
18 ; R-k Œródmieœcie PlacWolnoœci 1;1 ; ; ;;1 ;
19 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
20 ; Rybnik Dworzec Autobusowy4; ; ; ;; ;
 Razem: ;;37 ;11 ;3 ;;51 ;

   Kursówka: 01   Linia:  4   Wariant: A - 4 DA-Niewiadom-DA   Kurs:  15:59;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy2;5 ;12 ; ;;17 ;
2 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
3 ; R-k Œródmieœcie PlacWolnoœci 2;14 ;14 ; ;;28 ;
4 ; R-k Œródmieœcie 3 Maja;3 ;4 ;1 ;;8 ;
5 ; R-k Œródmieœcie Urszulanki;1 ;3 ;1 ;;5 ;
6 ; R-k Œródmieœcie ReymontaZUS; ; ; ;; ;
7 ; R-k Smolna Osiedle;3 ;3 ; ;;6 ;
8 ; R-k Zamys³ów Wodzis³awska;1 ; ; ;;1 ;
9 ; R-k Niedobczyce Pary¿;1 ;1 ; ;;2 ;
10 ; R-k Niedobczyce Karolinka; ; ; ;; ;
11 ; R-k Niedobczyce Szko³a; ; ; ;; ;
12 ; R-k Niedobczyce Stadion;5 ; ; ;;5 ;
13 ; R-k Niedobczyce Janasa; ; ; ;; ;
14 ; R-k Niedobczyce Ha³dy; ;1 ; ;;1 ;
15 ; R-k Niewiadom KopalniaIgnacy; ; ; ;; ;
>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#6;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
16 ; R-k Niewiadom Sportowa;2 ;1 ; ;;3 ;
17 ; R-k Niewiadom Dworzec Kol.; ; ; ;; ;
18 ; R-k Niewiadom Szko³a; ;1 ;1 ;;2 ;
19 ; R-k Niewiadom Frontowa;2 ; ; ;;2 ;
20 ; Radoszowy Koœció³;1 ; ; ;;1 ;
21 ; R-k Niewiadom Frontowa;2 ;2 ;1 ;;5 ;
22 ; R-k Niewiadom Kol Helena; ; ;1 ;;1 ;
23 ; R-k Niewiadom Kol Beata; ; ; ;; ;
24 ; R-k Maroko Nowiny Graniczna; ; ;2 ;;2 ;
25 ; R-k Maroko Nowiny Brzozowa;1 ;1 ; ;;2 ;
26 ; R-k Maroko NowinyRaciborska;2 ; ; ;;2 ;
27 ; R-k Smolna S³awików;1 ; ; ;;1 ;
28 ; R-k Œródmieœcie S¹d; ;1 ; ;;1 ;
29 ; R-k Œródmieœcie DworzecKolejowy;1 ; ; ;;1 ;
30 ; R-k Œródmieœcie Chrobrego; ; ; ;; ;
31 ; R-k Œródmieœcie PlacWolnoœci 1; ; ; ;; ;
32 ; R-k Pó³noc Rondo Gliwickie; ; ; ;; ;
